,time,targetX,endEffectorX,targetY,endEffectorY,targetZ,endEffectorZ
21,23.056,-3.0738119867580442,3.415,-0.5140524926676926,-0.757,5.971009098481857,5.699
22,23.159,-3.082029567246633,3.173,-0.5832432862853381,-1.506,5.967845503360427,5.721
23,23.281,-3.090398323477543,1.865,-0.6965101573849344,-1.266,5.972408514298394,6.66
24,23.377,-3.0906341021582286,1.507,-0.7732952065296604,-0.441,5.971124213955369,7.051
25,23.462,-3.0930015974989917,0.379,-0.8876197880067972,-1.413,5.970032697357137,6.892
26,23.61,-3.0953954445746543,-0.131,-0.9775815988151509,-3.36,5.971070123552152,5.794
27,23.708,-3.0953566104390124,0.756,-1.0018157645000645,-3.173,5.974986823518359,5.639
28,23.801,-3.095578519785539,1.464,-1.140033314766134,-2.956,5.976284993195542,5.602
29,23.895,-3.1054701289069926,1.048,-1.1629984904571495,-3.228,5.987448420259281,5.633
30,23.979,-3.107238469012132,0.069,-1.1833508853024044,-3.338,5.996702040009468,5.82
31,24.069,-3.107238469012132,0.65,-1.251885531043164,-2.608,5.996702040009468,6.541
32,24.169,-3.0915286742114167,-0.625,-1.2909525756329656,-1.218,6.001269211747684,7.049
33,24.258,-3.0915286742114167,-1.054,-1.4136259826956021,-2.747,6.001269211747684,7.079
34,24.344,-3.0859129808108605,-1.919,-1.4136259826956021,-3.343,6.010830730716178,7.071
35,24.446,-3.0795635996333486,0.338,-1.4706570438587934,-2.895,6.01320516072402,5.973
36,24.56,-3.0630757351863718,0.52,-1.517794707334295,-2.582,6.026331098571108,5.419
37,24.651,-3.0568470172160334,-1.754,-1.6684449475716032,-4.11,6.032559816541445,4.91
38,24.745,-3.051480971830321,-1.583,-1.6904049047152294,-4.089,6.039412654548892,5.163
39,24.844,-3.0424145880912654,-1.113,-1.7295926805143786,-3.332,6.044455544448724,5.676
40,24.949,-3.024248534211176,-1.802,-1.7976444014177495,-2.738,6.0604052787303715,5.957
41,25.053,-2.9905294090063554,-2.471,-1.8561242370931055,-2.754,6.072969508544064,6.073
42,25.163,-2.981207829518794,-1.789,-1.9022960508938305,-3.003,6.0656423393084165,6.552
43,25.265,1.2270699225572597,-0.767,-1.9594937736177505,-2.277,8.157742633297337,6.302
44,25.392,1.2497934396416535,-2.24,-2.115523114149772,-4.095,8.157742633297339,4.5
45,25.479,1.2497934396416535,-1.817,-2.1321092201817002,-5.951,8.157742633297339,2.99
46,25.586,-3.0152764619443952,-1.817,-2.1321092201817002,-5.951,5.7003864895915894,2.99
47,25.68,1.2952404738104408,-2.322,-2.1726735942265565,-5.096,8.157742633297337,4.027
48,25.774,-2.8818104724089766,-2.662,-2.2853840519265534,-3.274,6.104366907210843,5.608
49,25.913,-2.8375894873797525,-2.883,-2.3025620033434326,-2.936,6.1143666971387285,5.681
50,26.037,-2.794992601380425,-2.583,-2.413121608302997,-3.005,6.180796646955086,5.859
51,26.132,-2.721177231124956,0.824,-2.4455077552103437,-1.584,6.218930381222383,6.238
52,26.244,-2.6869699053577754,-0.344,-2.542125530081831,-1.652,6.23790224341705,5.977
53,26.345,-2.676902155692516,-0.613,-2.593005861047091,-1.351,6.242884108246588,5.225
54,26.441,-2.6461552287977455,-0.594,-2.6445803964660968,-0.797,6.259052978007932,4.281
55,26.53,-2.6153209250977794,-0.277,-2.6576784203844985,-1.502,6.274109527169808,5.499
56,26.633,1.5451991617387715,-2.953,-2.7037413136376607,-3.214,8.22591318455052,5.463
