,time,targetX,targetY,targetZ
0,18.996,0.04463574104220735,1.741552944014259,5.89191781757137
1,19.134,-2.012280769929415,1.698551636754648,6.161144839003471
2,19.26,-2.0237802488685723,1.671985521515281,6.158853661133813
3,19.348,-2.0445275319439467,1.6462199066857153,6.15474125567097
4,19.475,-2.0582350960951836,1.548047061346008,6.151015707827023
5,19.591,-2.0698449111862094,1.502900150528979,6.1431314405799435
6,19.68,-2.084060566505926,1.502900150528979,6.138425126941613
7,19.792,-2.097879828983746,1.4233238483159794,6.1304141774460925
8,19.899,-2.1118080654387192,1.4115354955598425,6.130735650678695
9,19.983,-2.18715131106816,1.3763266004861314,6.1100115245734665
10,20.094,-2.1926980865052905,1.3254200236057956,6.10505048426354
11,20.17,-2.2764227931525753,1.2046980003290184,6.0704607817402
12,20.263,-2.3186093440582503,1.2046980003290184,6.0673822668856054
13,20.367,-2.326450021714468,1.1233277898206124,6.060071475193297
14,20.443,-2.354266991557697,1.1233277898206124,6.048142911219097
15,20.529,-2.388012145758094,1.068896386545644,6.035452891579534
16,20.603,-2.423641187588537,1.0264646156431698,6.019986759871977
17,20.701,-2.4833888949125518,0.936110428404438,6.006084404736577
18,20.789,-2.5167090506020484,0.8970709420254656,5.993636852196182
19,20.914,-2.549561980364498,0.813851706799994,5.9865140406144635
20,20.997,-2.561506890435272,0.7966317619189933,5.981189299655786
21,21.12,-2.5716033294185743,0.6830158201488937,5.981189299655785
22,21.225,-2.6025315063095444,0.6470589164955322,5.970989335394187
23,21.332,-2.626928055444857,0.5759692309221781,5.961380554958648
24,21.425,-2.654513455586634,0.5089476621855183,5.945459456896474
25,21.506,-2.7055105525451957,0.5089476621855183,5.9365535586135785
26,21.601,-2.718629657219802,0.4395534627260381,5.92211586881541
27,21.681,-2.776477130817197,0.39657840138150224,5.9176097948601
28,21.769,-2.798070324390227,0.2755164935044983,5.909485784863282
29,21.857,-2.8029904994587227,0.23100735842380254,5.910861581324849
30,21.969,-2.826290497948925,0.11953308332385919,5.904618734608649
31,22.043,-2.8396806753917017,0.04855363059382201,5.902219944936551
32,22.141,-2.857992390077688,0.028547681827563023,5.89427982852618
33,22.229,-2.8797081793750166,-0.08582020540944833,5.888016549189263
34,22.317,-2.902317555285007,-0.10750326814902833,5.882924740106752
35,22.431,-2.918945622023966,-0.1739684234860887,5.877841104072525
36,22.519,-2.924759383705123,-0.19639030873504254,5.871961958005077
37,22.633,-2.9459589087856846,-0.2858455733824402,5.878669306298893
38,22.715,-2.962916621805535,-0.3567961556058943,5.869599947050267
39,22.813,-2.968276779306789,-0.4026976364813425,5.869599947050267
40,22.914,-3.0013285865775448,-0.49931016216981444,5.864303811760591
41,22.998,-3.008885931893163,-0.5684878328299221,5.86941605346382
42,23.094,-3.0129125203489964,-0.5863993575731605,5.869599947050267
43,23.203,-3.0232991025464706,-0.6325199918394886,5.860706308339799
44,23.295,-3.0270110286432725,-0.7036398602151795,5.861311113913004
45,23.377,-3.0352303908700997,-0.8003193129870937,5.865792668723454
46,23.472,-3.0401383063661656,-0.8876197880067972,5.864478170124038
47,23.586,-3.040100165474162,-0.9337338607943565,5.868324951517567
48,23.697,-3.0437603289318167,-1.050647601793686,5.872297052984825
49,23.82,-3.0500331434917327,-1.1177662804161252,5.880564091326656
50,23.912,-3.0503355462783346,-1.1177662804161252,5.881784599870779
51,24.023,-3.0515982822386047,-1.231589564915321,5.882036602192947
52,24.122,-3.051769916252622,-1.251885531043164,5.889652521021286
53,24.203,-3.0469805099567115,-1.251885531043164,5.888863821861635
54,24.288,-3.0308251178436567,-1.3373619149651237,5.903528994837111
