,time,inputAngle2,theta2,inputAngle3,theta3,inputAngle4,theta4
0,13.862,0.3855405600749057,0.0,1.0478040066585792,0.021735706841792667,0.8646346739932999,0.0
1,13.992,0.35324543737675274,0.0,1.027013147353637,0.021735706841792667,0.855153390072283,0.0
2,14.086,0.31467072000379703,0.0,1.0018968461692324,0.021735706841792667,0.8436089153432472,0.0
3,14.173,0.28819553491862926,0.0,0.9844806101826664,0.021735706841792667,0.835547551070018,0.0
4,14.284,0.25384668858517967,0.0658387693026938,0.9616686546784761,0.021735706841792667,0.8249215411338625,0.05851622524406763
5,14.411,0.22132713756843092,0.23684876094692026,0.939846084807415,0.021735706841792667,0.8146873090717669,0.20552546202982463
6,14.506,0.17531294524792337,0.4110645473898644,0.90859140753595,0.021735706841792667,0.7999161087700616,0.36620371382763994
7,14.6,0.14749746288356858,0.44557728697458177,0.8894828840115129,0.14345226330365873,0.790821445524262,0.5963374890671902
8,14.684,0.117995014710734,0.4291785080012981,0.8690370495049644,0.9078592208147898,0.7810381766274483,0.7631904407649216
9,14.779,0.0884506434710192,0.4899573262537283,0.8483767931101313,1.0882830317724197,0.7710988124394558,0.9048993750886405
10,14.867,0.06084733302791654,0.4856220932974687,0.8289049271580499,1.0882830317724197,0.761682991822282,0.952622701200754
11,14.955,0.03223844403797708,0.43240777557053783,0.8085498723848237,1.1024539166065954,0.7517911172272181,0.9366262069040718
12,15.044,-0.001973920360702306,0.31521469975071104,0.7839731783256815,1.0503378773437473,0.7397822745052118,0.9231553216600883
13,15.139,-0.03289627622697267,0.26448838254923257,0.7615371706777752,1.0503378773437473,0.7287581764378476,0.9237007298878639
14,15.218,-0.05854608920099273,0.26448838254923257,0.7427641891387821,1.003258702010146,0.7194897990576222,0.9237007298878639
15,15.303,-0.08877910636019398,0.21655030497608926,0.720445035470078,0.9739704228091958,0.7084191503783399,0.9107976853990691
16,15.404,-0.11340171169106585,0.18998828791871572,0.7021123755060467,0.9505468408120752,0.6992845949569758,0.8915250213536973
17,15.492,-0.14913504788668996,0.10487693873023389,0.6752552892728128,0.906021831977551,0.6858363630753318,0.8842659055510714
18,15.587,-0.17662060924393208,0.10487693873023389,0.6543908440339109,0.8760580505981934,0.6753352111862128,0.8842659055510714
19,15.657,-0.20209415021626573,0.06769302269396865,0.6348906802012878,0.8760580505981934,0.6654788255281776,0.8410428416032036
20,15.74,-0.22718823601683008,0.03277514440407577,0.6155250943239996,0.8459301831795555,0.6556508122254311,0.8181030439168373
21,15.825,-0.2561190525863117,0.0,0.5930032185438164,0.8229744527401717,0.6441717522619521,0.8181733078015241
22,15.922,-0.2859314098799255,-0.031239833430268277,0.5695718458034316,0.8308214428190254,0.6321734506164464,0.7833170009494693
23,16.002,-0.3124141563174803,-0.07561314323682984,0.5485634027583746,0.7853981633974483,0.6213679590496555,0.7944431428584544
24,16.082,-0.3416953434892291,-0.10409993810959935,0.5251178079829375,0.7551044034786732,0.609255894912014,0.7569465692103736
25,16.176,-0.36413543147593586,-0.1460122577112754,0.5069922887024872,0.707431529565906,0.59985408372258,0.7404872627861385
26,16.282,-0.3970107373033257,-0.16977827396833844,0.4801850621544926,0.6833912454873363,0.5858884506225325,0.7183276764188665
27,16.364,-0.42843539388285534,-0.21109333322274654,0.4542725326267284,0.6659692373791098,0.5723205826687031,0.7215816551395222
28,16.457,-0.4587320191112611,-0.24497866312686414,0.42901563651894226,0.6659692373791098,0.5590316562815706,0.7086262721276703
29,16.546,-0.486966918506766,-0.27094685033842053,0.4052277804680473,0.6345528017765085,0.5464577803621723,0.6773653529945659
30,16.643,-0.5125416750921621,-0.3052231337939214,0.3834672009328281,0.6162969373960713,0.5349064343805244,0.6749074225892228
31,16.743,-0.5441423539281708,-0.32994709214655477,0.35629005680265435,0.5975564529851647,0.5204140547288609,0.6369928241653455
32,16.837,-0.5767189573631506,-0.36625556043077695,0.32792761930137393,0.5524189243203455,0.5052118454829072,0.6365809068094435
